"origin","comb_cbd","comb_cbn","comb_thc","comb_cbg","comb_thcv","comb_cbc"
"Oakland",0.178213333,0.03374,19.385452,0.387868,0.003432,0.062576
"Oakland",0.074837333,0.023584,17.81355933,0.328449333,0.0311,0.016544
"Oakland",16.292388,0.033690909,0.591333818,0.167176848,0,0.134980242
"Oakland",7.401150889,0.033852923,5.530179222,0.439251829,0,0.054567812
"Oakland",8.04238,0.2215,8.299332,0.219924,0.025256,0.643772
"Oakland",4.249228,0.019008,1.706354,0.23666,0,0.032208
"Oakland",9.034336,0.021824,5.281718,0.376896,0.013288,0.310948
"Oakland",0.080256,0.05192,20.462932,0.934316,0.546128,0.2676
"Oakland",0.113784,0.03256,21.358932,0.559416,0,0.07302
"Oakland",0.108592,0.041624,15.9182,0.240596,0.07524,0.052096
"Oakland",0.101992,0.03476,13.855618,0.225308,0,0.04224
"Oakland",0.112464,0.032208,16.413152,0.269472,0.020328,0.058432
"Oakland",0.104192,0.02464,15.332814,0.81642,0,0.056464
"Oakland",0.097592,0.023232,20.08785,1.106772,0.068904,0.093444
"Oakland",0.090112,0.016368,17.276976,3.0023,0.04136,0.07352
"Oakland",0.102344,0.017688,20.982066,2.987556,0.118536,0.030712
"Oakland",0.099352,0.019976,17.603882,1.398812,0.048048,0.025344
"Oakland",0.097064,0.031152,19.747508,2.007212,0.04576,0.023936
"Oakland",0.0924,0.021472,14.741378,1.534936,0.001584,0.021208
"Oakland",0.098296,0.0176,19.866844,0.486868,0.022792,0.504744
"Oakland",14.491276,0.0848,0.847824,0.167688,0.016632,0.44588
"Oakland",0.128744,0.040744,26.143362,0.597616,0.010912,0.245392
"Oakland",0.118448,0.048488,18.62987,0.265496,0.137456,0.051128
"Oakland",0.105776,0.043032,15.270446,0.244608,0.055616,0.041536
"Oakland",0.119504,0.04136,18.48077,0.292072,0.088352,0.057376
"Oakland",0.113608,0.034144,18.38555,0.86062,0.060632,0.2312
"Oakland",0.105952,0.032648,24.421978,1.162572,0.13112,0.265704
"Oakland",0.09768,0.02684,22.11904,3.0532,0.10428,0.247468
"Oakland",0.113432,0.028424,26.393866,3.059856,0.181808,0.030272
"Oakland",0.109208,0.029832,21.683238,1.445112,0.11044,0.024992
"Oakland",0.110176,0.039512,26.409076,2.083812,0.108504,0.023672
"Oakland",0.100584,0.03124,18.774924,1.586836,0.06556,0.021032
"Oakland",0.107976,0.026576,23.423848,0.519168,0.079816,0.654964
"Oakland",18.699132,0.174704,1.330132,0.189288,0.077264,0.613632
"Oakland",0.035708,0.003696,1.510612,0.040504,0.00616,0.075928
"Oakland",0.019776,0.008272,3.049872,0.117212,0.02156,0.084052
"Oakland",0.01538,0.008712,1.8477,0.024172,0.011792,0.047148
"Oakland",0.0066,0.00396,1.860262,0.043912,0.019008,0.070508
"Oakland",0.007128,0.004928,2.397166,0.057712,0.017776,0.124124
"Oakland",0.006512,0.00748,1.764746,0.026772,0.01276,0.070404
"Oakland",0.007128,0.00572,2.313372,0.040728,0.015752,0.126648
"Oakland",0.007304,0.0044,2.326222,0.046568,0.021032,0.080252
"Oakland",0.005984,0.003344,1.526078,0.023272,0.004224,0.053184
"Oakland",0.005104,0.002728,0.927394,0.022556,0.00616,0.033688
"Oakland",0.006776,0.0044,1.908234,0.026268,0.019624,0.074412
"Oakland",0.00572,0.003872,1.43321,0.023864,0.005544,0.084768
"Oakland",0.020648,0.003872,1.702566,0.02672,0.003784,0.110752
"Oakland",0.018776,0.003256,2.023334,0.06046,0.015928,0.085636
"Oakland",0.016932,0.003696,1.377258,0.024276,0.006072,0.05562
"Oakland",0.021108,0.002464,1.639358,0.044044,0.003696,0.09118
"Oakland",0.028612,0.003168,1.221934,0.02874,0.004576,0.067012
"Oakland",0.01954,0.003608,1.618472,0.033788,0.008976,0.097592
"Oakland",0.015808,0.003432,1.352424,0.028592,0.004048,0.071864
"Oakland",0.031544,0.004312,2.873026,0.10414,0.012496,0.193548
"Oakland",0.043588,0.00396,4.464608,0.336156,0.023144,0.330204
"Oakland",0.014292,0.00308,1.36875,0.015964,0.003784,0.065052
"Oakland",0.024436,0.002904,1.777932,0.024548,0.004928,0.154044
"Oakland",0.00572,0.002728,1.486568,0.013972,0.002728,0.114152
"Oakland",0.00792,0.004664,2.422816,0.030584,0.006688,0.144756
"Oakland",0.00616,0.00352,2.191466,0.070024,0.009944,0.163612
"Oakland",0.00748,0.005984,2.516698,0.046804,0.00704,0.259788
"Oakland",0.00968,0.004048,3.441882,0.04456,0.018832,0.17676
"Oakland",0.00792,0.00352,2.856368,0.13792,0.011968,0.200584
"Oakland",0.006776,0.004224,2.021956,0.04354,0.0044,0.19634
"Oakland",3.080028,0.001232,1.005558,0.04686,0.016808,0.148888
"Oakland",0.01752,0.00396,2.605104,0.047096,0.013904,0.17826
"Oakland",0.005456,0.002552,1.593338,0.041996,0.004312,0.13008
"Oakland",0.010208,0.004752,3.727008,0.095124,0.019976,0.192972
"Oakland",0.011704,0.00704,4.63061,0.318792,0.022792,0.342512
"Oakland",0.007392,0.004048,2.609062,0.043768,0.011176,0.110476
"Oakland",0.009152,0.005544,3.501578,0.052156,0.015752,0.272524
"Oakland",0.008976,0.004136,3.394284,0.178408,0.017864,0.196724
"Oakland",0.008888,0.003256,3.996524,0.101744,0.02508,0.254812
"Oakland",0.007568,0.003872,3.254112,0.1403,0.015928,0.267116
"Oakland",0.006952,0.003608,2.068002,0.078972,0.00968,0.08572
"Oakland",0.006864,0.000528,1.963406,0.014144,0.004312,0.1023
"Oakland",0.006688,0.006072,2.337814,0.022152,0.005632,0.237832
"Oakland",0.008096,0.006952,2.597008,0.03166,0.007744,0.134548
"Oakland",0.00748,0.002728,1.723882,0.015268,0.009944,0.085076
"Oakland",0.25562,0.051832,17.656006,1.129932,0,0.183344
"Oakland",0.0968,0.052184,17.405678,1.068712,0,0.18008
"Oakland",1.225488,0,0.709124,0.258656,0,0.055088
"Oakland",0.14036,0.029568,17.549456,0.922452,0.029568,0.03476
"Oakland",17.814748,0,0.742014,0.223112,0.04224,0.295084
"Oakland",0.1034,0.022,22.589916,0.941192,0,0.213324
"Oakland",0.116248,0.03168,20.613682,0.56162,0,0.32428
"Oakland",0.111232,0.033264,20.006676,0.589368,0,0.183908
"Oakland",0.122496,0.050952,20.9017,0.458456,0.02992,0.036432
"Oakland",0.11484,0.029568,20.01771,0.25608,0.025168,0.078092
"Oakland",0.113608,0.04664,18.610728,0.73628,0,0.062656
"Oakland",0.094512,0.159276,17.173232,0.31008,0,0.048492
"Oakland",0.086856,0.065912,14.133118,0.268928,0,0.020064
"Oakland",0.077352,0.048488,15.588868,0.556304,0,0.039896
"Oakland",6.603912,0,4.199516,0.378792,0,0.096064
"Oakland",0.147428,0.010472,20.490696,0.679324,0.069168,0.174864
"Oakland",0.108328,0.011088,21.187972,0.49408,0,0.376644
"Oakland",6.609484,0.150116,3.33971,0.244932,0,0.209768
"Oakland",12.064396,0,0.423334,0.307552,0,0.200168
"Oakland",14.237944,0,5.725568,0.372852,0,0.112464
"Oakland",0.10956,0,20.384612,0.398,0,0.030272
"Oakland",10.149616,0,7.810474,0.291396,0,0.089848
"Oakland",0.114048,0.013992,16.806528,0.342972,0,0.010296
"Oakland",8.931404,0,0.317748,0.095656,0,0.055704
"Oakland",0.095304,0.048664,21.335698,0.453164,0,0.016808
"Oakland",0.084656,0.056584,11.863752,0.539516,0,0.025784
"Oakland",0.09504,0,18.898734,0.66742,0,0.044528
"Oakland",0.086944,0.015224,18.844934,0.645176,0.028864,0.110968
"Oakland",0.097592,0.02728,16.775108,0.371356,0,0.015312
"Oakland",0.10208,0.019536,23.594062,0.571504,0,0.110672
"Oakland",0.076472,0,5.378864,0.768228,2.85736,0.056932
"Oakland",15.681216,0,0.607984,0.195656,0,0.186916
"Oakland",0.125576,0.013904,13.61799,0.302232,0,0.006248
"Oakland",0.14652,0.044264,19.795068,0.640388,0.138688,0.097032
"Oakland",0.163152,0.04048,25.039116,0.567608,0.217184,0.119776
